state,specialty_clean,payment_type_clean,payment_amount
AA,General Practice,Food & Beverage,140.45
AE,Adult Health,Food & Beverage,23.3
AE,Anesthesiology,Food & Beverage,20.87
AE,Child & Adolescent Psychiatry,Food & Beverage,724.22
AE,Clinical Cardiac Electrophysiology,Food & Beverage,11.6
AE,Dentist,Education,275.0
AE,Dentist,Food & Beverage,3063.33
AE,Dentist,Travel & Lodging,1841.1299999999999
AE,Diagnostic Radiology,Food & Beverage,19.99
AE,Emergency Medicine,Food & Beverage,41.65
AE,Endodontics,Food & Beverage,14.5
AE,Family,Food & Beverage,305.87
AE,Family Medicine,Food & Beverage,1022.65
AE,Foot & Ankle Surgery,Food & Beverage,526.03
AE,General Practice,Education,75.0
AE,General Practice,Food & Beverage,2768.55
AE,General Practice,Honoraria,22882.0
AE,General Practice,Other,539.51
AE,General Practice,Travel & Lodging,812.72
AE,Internal Medicine,Food & Beverage,732.37
AE,Internal Medicine,Travel & Lodging,514.81
AE,Medical,Food & Beverage,71.38
AE,Neurology,Food & Beverage,74.41
AE,"Nurse Anesthetist, Certified Registered",Food & Beverage,56.95
AE,Nurse Practitioner,Food & Beverage,84.43
AE,Obstetrics & Gynecology,Education,100.0
AE,Obstetrics & Gynecology,Food & Beverage,417.15
AE,Obstetrics & Gynecology,Travel & Lodging,2047.83
AE,Ophthalmology,Food & Beverage,65.03
AE,Optometrist,Food & Beverage,381.06
AE,Oral and Maxillofacial Surgery,Consulting,47747.5
AE,Oral and Maxillofacial Surgery,Food & Beverage,2077.86
AE,Oral and Maxillofacial Surgery,Honoraria,2500.0
AE,Oral and Maxillofacial Surgery,Other,9519.7
AE,Oral and Maxillofacial Surgery,Travel & Lodging,10972.12
AE,Orthodontics and Dentofacial Orthopedics,Food & Beverage,235.70999999999998
AE,Orthopaedic Surgery,Food & Beverage,159.92000000000002
AE,Otolaryngology,Food & Beverage,14.94
AE,Pain Medicine,Food & Beverage,169.64000000000001
AE,Pediatrics,Food & Beverage,548.64
AE,Periodontics,Food & Beverage,125.12
AE,Periodontics,Other,111.33
AE,Physician Assistant,Food & Beverage,432.58
AE,Preventive Medicine/Occupational Environmental Medicine,Food & Beverage,38.68
AE,Primary Care,Food & Beverage,45.629999999999995
AE,Prosthodontics,Food & Beverage,26.82
AE,Psychiatric/Mental Health,Food & Beverage,26.82
AE,Psychiatry,Food & Beverage,188.41
AE,Pulmonary Disease,Food & Beverage,280.67
AE,Surgery,Food & Beverage,213.06
AE,Surgery,Travel & Lodging,2328.3900000000003
AE,Surgical,Food & Beverage,102.89
AE,Urology,Food & Beverage,429.77
AE,Women's Health,Food & Beverage,115.0
AK,Acute Care,Food & Beverage,925.37
AK,Addiction (Substance Use Disorder),Food & Beverage,123.11
AK,Adult Health,Education,640.96
AK,Adult Health,Food & Beverage,5299.88
AK,Adult Health,Non-consulting professional services,14350.0
AK,Adult Health,Travel & Lodging,6231.85
AK,Adult Medicine,Food & Beverage,86.04
AK,Advanced Heart Failure and Transplant Cardiology,Food & Beverage,357.25
AK,Advanced Practice Dental Therapist,Food & Beverage,62.5
AK,Advanced Practice Midwife,Consulting,875.0
